time,PM10,apparentTemperature,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,pressure,temperature,uvIndex,visibility,windBearing,windGust,windSpeed,no precip,rain,sleet,snow,Clear,Drizzle,Foggy,Mostly Cloudy,Overcast,Partly Cloudy
1/1/15 0:00,30.02,9.03,0.44,5.03,0.58,0,0,1033.58,17.41,0,6.216,290,,5.82,1,0,0,0,0,0,0,0,0,1
1/1/15 1:00,30.21,4.87,0.44,3.24,0.57,0,0,1033.86,15.63,0,6.216,311,,8.05,1,0,0,0,0,0,0,0,0,1
1/1/15 2:00,29.4,3.62,0.44,3.24,0.62,0,0,1034.14,13.8,0,6.216,300,,6.93,1,0,0,0,0,0,0,0,0,1
1/1/15 3:00,28.83,5.83,0.44,3.24,0.57,0,0,1034.42,15.63,0,6.216,300,,6.93,1,0,0,0,0,0,0,0,0,1
1/1/15 4:00,27.69,5.62,0.44,2.61,0.6,0,0,1034.99,14.03,0,6.216,330,5.29,5.29,1,0,0,0,0,0,0,0,0,1
1/1/15 5:00,27.28,2.59,0.44,1.4,0.62,0,0,1035.56,11.99,0,6.216,20,,5.82,1,0,0,0,0,0,0,0,0,1
1/1/15 6:00,26.04,6.01,0.44,1.4,0.62,0,0,1036.13,11.99,0,6.216,11,,3.36,1,0,0,0,0,0,0,0,0,1
1/1/15 7:00,25.77,0.43,0,1.4,0.62,0,0,1036.213333,11.99,,6.216,20,,8.05,1,0,0,0,1,0,0,0,0,0
1/1/15 8:00,24.47,4.87,0,3.24,0.57,0,0,1036.296667,15.63,,6.216,30,,8.05,1,0,0,0,1,0,0,0,0,0
1/1/15 9:00,21.94,8.92,0,6.27,0.57,0,0,1036.38,19.12,,6.216,27,8.33,8.33,1,0,0,0,1,0,0,0,0,0
1/1/15 10:00,20.63,11.77,0,7.85,0.55,0,0,1035.626667,21.67,,6.216,30,8.69,8.69,1,0,0,0,1,0,0,0,0,0
1/1/15 11:00,19.44,17.37,0,7.85,0.48,0,0,1034.873333,24.67,,6.216,30,6.14,6.14,1,0,0,0,1,0,0,0,0,0
1/1/15 12:00,20.62,18.82,0,7.85,0.46,0,0,1034.12,26.04,,6.216,32,6.38,6.38,1,0,0,0,1,0,0,0,0,0
1/1/15 13:00,22.52,16.02,0,8.89,0.51,0,0,1034.42,24.67,,6.216,30,7.85,7.85,1,0,0,0,1,0,0,0,0,0
1/1/15 14:00,24.35,13.46,0,10.52,0.58,0,0,1034.72,23.05,,6.216,30,8.69,8.69,1,0,0,0,1,0,0,0,0,0
1/1/15 15:00,26.72,10.9,0,8.45,0.58,0,0,1035.02,20.96,,6.216,41,8.69,8.69,1,0,0,0,1,0,0,0,0,0
1/1/15 16:00,31.17,6.93,0,7.09,0.58,0,0,1035.62,19.36,0,6.216,29,11.92,11.92,1,0,0,0,1,0,0,0,0,0
1/1/15 17:00,32.08,5.71,0,7.25,0.63,0,0,1036.22,17.77,0,6.216,30,10.59,10.59,1,0,0,0,1,0,0,0,0,0
1/1/15 18:00,30.53,2.49,0,6.01,0.63,0,0,1036.82,16.37,0,6.216,30,13.14,13.14,1,0,0,0,1,0,0,0,0,0
1/1/15 19:00,39.52,3.14,0,5.77,0.63,0,0,1037.18,16.13,0,6.216,30,11.44,11.44,1,0,0,0,1,0,0,0,0,0
1/1/15 20:00,58.96,3.36,0,5.73,0.64,0,0,1037.54,15.88,0,6.216,20,10.59,10.59,1,0,0,0,1,0,0,0,0,0
1/1/15 21:00,60.74,3.64,0,5.51,0.64,0,0,1037.9,15.65,0,6.216,30,9.74,9.74,1,0,0,0,1,0,0,0,0,0
1/1/15 22:00,69.43,1.39,0,4.02,0.72,0,0,1038.073333,11.27,0,6.216,350,6.14,6.14,1,0,0,0,1,0,0,0,0,0
1/1/15 23:00,106.19,8.34,0,2.47,0.76,0,0,1038.246667,8.34,0,3.73,281,1.71,1.71,1,0,0,0,1,0,0,0,0,0
1/2/15 0:00,142.95,8.34,0,2.47,0.76,0,0,1038.42,8.34,0,3.108,,0,0,1,0,0,0,1,0,0,0,0,0
1/2/15 1:00,124.15,6.58,0.19,3.24,0.86,0,0,1038.29,6.58,0,3.108,,,0,1,0,0,0,0,0,0,0,0,1
1/2/15 2:00,117.24,6.58,0.19,3.24,0.86,0,0,1038.16,6.58,0,4.974,,,0,1,0,0,0,0,0,0,0,0,1
1/2/15 3:00,107.99,4.83,0.19,-0.38,0.79,0,0,1038.03,4.83,0,4.346,,,0,1,0,0,0,0,0,0,0,0,1
1/2/15 4:00,120.14,4.83,0.19,-0.38,0.79,0,0,1037.828333,4.83,0,4.346,,,0,1,0,0,0,0,0,0,0,0,1
1/2/15 5:00,191.26,4.84,0.19,-0.38,0.78,,,1037.626667,4.84,0,4.346,,,0,0,0,0,1,0,0,0,0,0,1
1/2/15 6:00,126.57,8.37,0.75,5.03,0.86,0,0,1037.425,8.37,0,4.974,191,,2.24,1,0,0,0,0,0,0,1,0,0
1/2/15 7:00,122.15,11.99,0.75,6.78,0.79,0,0,,11.99,0,3.73,,,0,1,0,0,0,0,0,0,1,0,0
1/2/15 8:00,183.53,13.8,0.75,8.58,0.79,0,0,,13.8,1,6.216,,,0,1,0,0,0,0,0,0,1,0,0
1/2/15 9:00,202.51,19.2,0.75,8.58,0.63,0,0,1036.82,19.2,1,6.216,,,0,1,0,0,0,0,0,0,1,0,0
1/2/15 10:00,176.54,21.01,1,8.58,0.58,0,0,1035.88,21.01,1,6.216,,,0,1,0,0,0,0,0,0,0,1,0
1/2/15 11:00,217.11,22.81,1,8.58,0.54,0,0,1034.94,22.81,1,6.216,210,,2.24,1,0,0,0,0,0,0,0,1,0
1/2/15 12:00,227.52,26.71,1,12.22,0.54,0,0,1034,26.71,1,6.216,,0,0,1,0,0,0,0,0,0,0,1,0
1/2/15 13:00,279.29,29.66,0.75,13.74,0.51,0,0,1033.743333,29.66,1,6.216,,2.99,0,1,0,0,0,0,0,0,1,0,0
1/2/15 14:00,238.02,26.95,0.19,13.74,0.57,0,0,1033.486667,26.95,0,6.216,150,1.71,1.71,1,0,0,0,0,0,0,0,0,1
1/2/15 15:00,271.32,25.34,0.19,13.61,0.61,0,0,1033.23,25.34,0,6.216,90,2.01,0.48,1,0,0,0,0,0,0,0,0,1
1/2/15 16:00,245.48,20.96,0,12.45,0.69,0,0,1033.326667,20.96,0,6.216,,0,0,1,0,0,0,1,0,0,0,0,0
1/2/15 17:00,249.31,19.59,0,11.09,0.69,0,0,1033.423333,19.59,0,6.216,,0,0,1,0,0,0,1,0,0,0,0,0
1/2/15 18:00,246.03,18.23,0,12.52,0.78,0,0,1033.52,18.23,0,6.216,80,1.71,1.71,1,0,0,0,1,0,0,0,0,0
1/2/15 19:00,257.06,18,0,10.94,0.73,0,0,1033.346667,18,0,4.346,60,1.71,1.71,1,0,0,0,1,0,0,0,0,0
1/2/15 20:00,261.78,19.36,0,12.39,0.74,0,0,1033.173333,19.36,0,3.73,98,2.19,2.19,1,0,0,0,1,0,0,0,0,0
1/2/15 21:00,284.05,18,0.5,12.47,0.79,0,0,1033,18,0,3.108,20,2.56,2.56,1,0,0,0,0,0,0,1,0,0
1/2/15 22:00,410.48,18.23,0,12.69,0.79,0,0,1032.596667,18.23,0,3.108,90,2.99,0.71,1,0,0,0,1,0,0,0,0,0
1/2/15 23:00,405.685,19.59,0.75,14.07,0.79,0,0,1032.193333,19.59,0,3.108,,0,0,1,0,0,0,0,0,0,1,0,0
1/3/15 0:00,400.89,15.05,0.75,14.16,0.79,0,0,1031.79,19.59,0,3.108,159,6,3.13,1,0,0,0,0,0,0,1,0,0
1/3/15 1:00,354.36,19.36,0.75,13.92,0.79,0,0,1031.656667,19.36,0,2.548,,1,0,1,0,0,0,0,0,0,1,0,0
1/3/15 2:00,369.26,19.2,0.75,15.83,0.86,0,0,1031.523333,19.2,0,2.609,,,0,1,0,0,0,0,0,0,1,0,0
1/3/15 3:00,335.33,21.01,0.75,17.61,0.86,0,0,1031.39,21.01,0,3.108,,,0,1,0,0,0,0,0,0,1,0,0
1/3/15 4:00,344.96,21.01,0.75,17.61,0.86,0,0,1031.26,21.01,0,3.108,,,0,1,0,0,0,0,0,0,1,0,0
1/3/15 5:00,334.43,22.81,1,17.61,0.8,0,0,1031.13,22.81,0,3.108,,,0,1,0,0,0,0,0,0,0,1,0
1/3/15 6:00,325.14,22.81,0.75,19.4,0.87,0,0,1031,22.81,0,3.108,,,0,1,0,0,0,0,0,0,1,0,0
1/3/15 7:00,308.34,24.62,0.75,19.4,0.8,0,0,1031.763333,24.62,0,1.862,140,,1.11,1,0,0,0,0,0,1,0,0,0
1/3/15 8:00,280.71,27.18,0.75,20.49,0.76,0,0,1032.526667,27.18,1,2.175,140,0.85,0.85,1,0,0,0,0,0,0,1,0,0
1/3/15 9:00,284.97,30.84,0.75,22.46,0.71,0,0,1033.29,30.84,1,2.609,283,4.99,1.33,1,0,0,0,0,0,0,1,0,0
1/3/15 10:00,303.53,32.49,0.75,22.68,0.67,0,0,1032.753333,32.49,1,2.048,,0,0,1,0,0,0,0,0,0,1,0,0
1/3/15 11:00,340.67,34.3,0.75,24.6,0.67,0,0,1032.216667,34.3,1,1.925,18,1.09,1.09,1,0,0,0,0,0,1,0,0,0
1/3/15 12:00,366.52,34.3,0.75,24.6,0.67,0,0,1031.68,34.3,1,2.048,,0,0,1,0,0,0,0,0,0,1,0,0
1/3/15 13:00,328.2,35.68,0.75,25.97,0.67,0,0,1031.09,35.68,1,1.675,,0,0,1,0,0,0,0,0,1,0,0,0
1/3/15 14:00,291.72,37.3,0.75,26.29,0.64,0,0,1030.5,37.3,0,1.429,,2.01,0,1,0,0,0,0,0,1,0,0,0
1/3/15 15:00,317.1,34.3,0.75,26.14,0.72,0,0,1029.91,34.3,0,1.429,,0,0,1,0,0,0,0,0,1,0,0,0
1/3/15 16:00,499.58,34.07,0.75,27.44,0.76,0,0,1029.376667,34.07,0,2.67,101,1.71,1.71,1,0,0,0,0,0,0,1,0,0
1/3/15 17:00,583.34,29.49,0.75,24.33,0.81,0,0,1028.843333,29.49,0,1.989,101,1.71,1.71,1,0,0,0,0,0,1,0,0,0
1/3/15 18:00,467.33,22.56,0.75,23.03,0.86,0,0,1028.31,26.76,0,2.048,140,3.58,3.58,1,0,0,0,0,0,0,1,0,0
1/3/15 19:00,366.49,28.13,0.75,24.49,0.86,0,0,1027.203333,28.13,0,3.108,90,0.85,0.85,1,0,0,0,0,0,0,1,0,0
1/3/15 20:00,448.06,25.69,0.44,26,0.87,0,0,1026.096667,29.49,0,3.108,20,3.58,3.58,1,0,0,0,0,0,0,0,0,1
1/3/15 21:00,503.47,22.29,0.44,23.03,0.86,0,0,1024.99,26.52,0,2.175,20,3.58,3.58,1,0,0,0,0,0,0,0,0,1
1/3/15 22:00,586.49,25.14,0.19,23.03,0.92,0,0,1024.226667,25.14,0,2.048,,1,0,1,0,0,0,0,0,0,0,0,1
1/3/15 23:00,488.04,25.14,0.19,23.03,0.92,0,0,1023.463333,25.14,0,1.989,,0,0,1,0,0,0,0,0,1,0,0,0
1/4/15 0:00,389.59,24.62,0.19,23.02,0.94,0,0,1022.7,24.62,0,1.366,251,,1.11,1,0,0,0,0,0,1,0,0,0
1/4/15 1:00,378.57,24.62,0.44,24.62,1,0,0,1021.296667,24.62,0,0.931,0,,2.24,1,0,0,0,0,0,1,0,0,0
1/4/15 2:00,338.38,24.51,0.75,26.62,0.94,0,0,1019.893333,28.21,0,2.114,120,,3.36,1,0,0,0,0,0,0,1,0,0
1/4/15 3:00,283.04,22.47,0.75,24.82,0.94,0,0,1018.49,26.42,0,1.12,350,,3.36,1,0,0,0,0,0,1,0,0,0
1/4/15 4:00,388.18,26.42,0.75,24.82,0.94,0,0,1018.06,26.42,0,0.869,161,,2.24,1,0,0,0,0,0,1,0,0,0
1/4/15 5:00,652.88,24.62,0.75,24.62,1,0,0,1017.63,24.62,0,0.559,20,,2.24,1,0,0,0,0,0,1,0,0,0
1/4/15 6:00,456.32,22.81,0.44,21.21,0.93,0,0,1017.2,22.81,0,0.124,101,,2.24,1,0,0,0,0,0,1,0,0,0
1/4/15 7:00,375.12,24.62,0.44,23.02,0.94,0,0,1016.796667,24.62,0,0.031,150,,1.11,1,0,0,0,0,0,1,0,0,0
1/4/15 8:00,465.84,24.62,0.44,24.62,1,0,0,1016.393333,24.62,1,0.124,311,,1.11,1,0,0,0,0,0,1,0,0,0
1/4/15 9:00,510.85,25,1,28.41,0.94,0,0,1015.99,29.97,1,0.621,20,,4.69,1,0,0,0,0,0,1,0,0,0
1/4/15 10:00,438.57,27.36,0.75,29.2,0.78,0,0,1016.563333,35.49,1,1.056,333,22.1,11.54,1,0,0,0,0,0,1,0,0,0
1/4/15 11:00,292.54,29.62,1,32.18,0.88,0,0,1017.136667,35.49,1,0.994,131,24.71,7.13,1,0,0,0,0,0,1,0,0,0
1/4/15 12:00,63.89,34.46,1,33.68,0.83,0,0,1017.71,38.48,1,6.216,11,5.29,5.29,1,0,0,0,0,0,0,0,1,0
